current_time,temperature
17:12:44,25.4
17:12:46,25.6
17:12:48,25.6
17:12:51,25.6
17:12:53,25.6
17:12:55,25.6
17:12:57,25.6
17:12:59,25.6
17:13:15,25.6
17:13:17,25.6
17:13:19,25.6
17:13:21,25.6
17:13:23,25.6
17:13:25,25.7
17:13:27,25.8
17:13:29,25.9
17:13:32,26.0
17:13:33,26.2
17:13:35,26.4
17:13:37,26.5
17:13:39,26.7
17:13:41,26.9
17:13:43,27.0
17:13:46,27.2
17:13:48,27.3
17:13:50,27.4
17:13:52,27.5
17:13:54,27.6
17:13:56,27.6
17:13:58,27.7
17:14:00,27.7
17:14:02,27.7
17:14:04,27.7
17:14:06,27.7
17:14:08,27.7
17:14:11,27.7
17:14:13,27.7
17:14:15,27.7
17:14:17,27.7
17:14:19,27.7
17:14:21,27.6
17:14:23,27.6
17:14:25,27.6
17:14:27,27.6
17:14:29,27.5
17:14:31,27.5
17:14:33,27.5
17:14:35,27.4
17:14:37,27.4
17:14:39,27.4
17:14:41,27.4
17:14:43,27.4
17:14:45,27.3
17:14:48,27.3
17:14:50,27.3
17:14:52,27.3
17:14:54,27.3
17:14:56,27.2
17:14:58,27.2
17:15:00,27.2
17:15:02,27.2
17:15:04,27.1
17:15:06,27.1
17:15:08,27.1
17:15:10,27.1
17:15:12,27.1
17:15:14,27.1
17:15:16,27.0
17:15:18,27.0
17:15:20,27.0
17:15:23,27.0
17:15:25,26.9
17:15:27,26.9
17:15:29,26.9
17:15:31,26.9
17:15:33,26.9
17:15:35,26.9
17:15:37,26.9
17:15:39,26.9
17:15:41,26.8
17:15:43,26.8
17:15:45,26.8
17:15:47,26.8
17:15:49,26.8
17:15:51,26.8
17:15:54,26.8
17:15:56,26.8
17:15:58,26.8
17:16:00,26.8
